name,website,firm_type,hq_city,hq_country,sectors,stage_focus,description,bvca_member,profile_url,source
Briggs Capital Formation LLP,,VC/PE,United Kingdom,UK,Professional Services,,"Briggs Capital Formation LLP (“BCF”) is a specialist advisor to private funds across asset classes, strategies and geographies. The team supports during formative and pivotal moments in the  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/briggs-capital-formation-llp-1/,ukpc_directory
British Business Bank,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Government-owned business development bank financing smaller businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/british-business-bank/,ukpc_directory
Brookfield Asset Management,,VC/PE,United Kingdom,UK,UK General Partner,,Global investor and operator of real assets.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/brookfield-asset-management/,ukpc_directory
Brookstreet Equity Partners,,VC/PE,United Kingdom,UK,UK General Partner,,"An independent, London-based group of investors with international experience in industry, strategy, finance and cross-border deals.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/brookstreet-equity-partners/,ukpc_directory
Bryan Cave Leighton Paisner LLP,,VC/PE,United Kingdom,UK,Law Firms,,"Bryan Cave Leighton Paisner brings enduring value to client relationships, delivering commercial advantage to clients through connectivity, collaboration and innovation.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bryan-cave-leighton-paisner-llp/,ukpc_directory
Bullhound Capital,,VC/PE,United Kingdom,UK,UK General Partner,,"GP Bullhound Asset Management is the independent investment arm of GP Bullhound investing in high-potential, fast growing European technology businesses.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bullhound-capital/,ukpc_directory
Burges Salmon LLP,,VC/PE,United Kingdom,UK,Law Firms,,Independent UK law firm with a global reach.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/burges-salmon-llp/,ukpc_directory
BVK (German Private Equity and Venture Capital Association),,VC/PE,Germany,UK,Honorary,,Focused on the private equity industry in Germany.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bvk-german-private-equity-and-venture-capital-association/,ukpc_directory
Caledonia Group Services Ltd,,PE,United Kingdom,UK,Direct Investor,,Self-managed investment trust company.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/caledonia-group-services-ltd/,ukpc_directory
Caledonia Investments plc (LP),,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/caledonia-investments-plc-lp/,ukpc_directory
Cambridge Innovation Capital Ltd,,VC/PE,United Kingdom,UK,UK General Partner,,"Cambridge Innovation Capital (CIC) is a leading venture investor backing and building category-leading deep tech and life sciences companies. CIC currently manages in excess of £600 million, has  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cambridge-innovation-capital-ltd/,ukpc_directory
Campbell Lutyens & Co. Ltd,,VC/PE,United Kingdom,UK,Professional Services,,Independent advisory firm focused on fund placement and secondary advisory.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/campbell-lutyens-co-ltd/,ukpc_directory
Capital Dynamics,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,"Capital Dynamics is an independent global asset management firm focusing on private assets including private equity, private credit, and clean energy infrastructure.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/capital-dynamics/,ukpc_directory
Carbometrix,,VC/PE,France,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/carbometrix-1/,ukpc_directory
Carey Olsen,,VC/PE,Guernsey,UK,Law Firms,,Offshore law firm delivering services to clients of key offshore financial centres.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/carey-olsen/,ukpc_directory
Carta,,VC/PE,United Kingdom,UK,Professional Services,,Vauban from Carta is the easiest way to launch & run your venture investing.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/carta/,ukpc_directory
Catapult Cell and Gene Therapy,,PE,United Kingdom,UK,Direct Investor,,"Growing a UK cell and gene therapy industry, delivering health and wealth.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/catapult-cell-and-gene-therapy/,ukpc_directory
Causeway Capital Partners,,VC/PE,Ireland,UK,Overseas General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/causeway-capital-partners/,ukpc_directory
CBPE Capital,,VC/PE,United Kingdom,UK,UK General Partner,,Investing in UK-headquartered companies across a variety of sectors.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cbpe-capital/,ukpc_directory
CD&R,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity firm focused on collaboration with corporate and family business sellers.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cdr/,ukpc_directory
CDPQ London LLP,,VC/PE,United Kingdom,UK,Institutional Investor,,Canadian long-term institutional investor and fund manager.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cdpq-london-llp/,ukpc_directory
CedarBridge Capital Partners Ltd,,VC/PE,United Arab Emirates,UK,Overseas General Partner,,Private Equity investor in consumer segments in MENA and Europe,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cedarbridge-capital-partners-ltd/,ukpc_directory
CGE Partners LLP,,VC/PE,United Kingdom,UK,UK General Partner,,CGE Partners is a mid-market PE fund focused on ambitious high-growth companies across Western Europe,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cge-partners-llp/,ukpc_directory
Charles Russell Speechlys,,VC/PE,United Kingdom,UK,Law Firms,,"Law firm headquartered in London, with offices in the UK, Europe and the Middle East.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/charles-russell-speechlys/,ukpc_directory
Church Commissioners,,VC/PE,United Kingdom,UK,Institutional Investor,,"Supporting the Church of England's ministry, particularly in areas of need and opportunity.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/church-commissioners/,ukpc_directory
Cibus Capital LLP,,VC/PE,United Kingdom,UK,Impact Investment Fund,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cibus-capital-llp/,ukpc_directory
Cinven Limited,,VC/PE,United Kingdom,UK,UK General Partner,,"A leading pure-play, international private equity firm with nearly 50 years of investment experience.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cinven-limited/,ukpc_directory
Circularity Capital,,VC/PE,United Kingdom,UK,Impact Investment Fund,,Circularity Capital is a specialist private equity firm investing in European growth stage businesses operating in the circular economy.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/circularity-capital/,ukpc_directory
Clarendon Fund Managers Limited,,VC/PE,United Kingdom,UK,UK General Partner,,A venture capital fund manager based in Belfast.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/clarendon-fund-managers-limited/,ukpc_directory
Claret Capital Partners,,Debt,United Kingdom,UK,Private Credit,,The principals of Claret Capital Partners have been providing growth financing to innovative businesses for more than 20 years.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/claret-capital-partners/,ukpc_directory
Clean Growth Investment Management LLP,,VC/PE,United Kingdom,UK,Impact Investment Fund,,"The Clean Growth Venture Capital Fund invests in UK early-stage, innovative climate tech companies across power, buildings, industry, transport, waste/water.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/clean-growth-investment-management-llp/,ukpc_directory
Cleary Gottlieb Steen & Hamilton LLP,,VC/PE,United Kingdom,UK,Law Firms,,Global law firm assisting with domestic and international legal and business challenges.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cleary-gottlieb-steen-hamilton-llp/,ukpc_directory
Clifford Chance LLP,,VC/PE,United Kingdom,UK,Law Firms,,Global law firm with expertise and resources across five continents.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/clifford-chance-llp/,ukpc_directory
CMS Hong Kong LLP,,VC/PE,United Kingdom,UK,Law Firms,,Full service global law firm providing business-focused advice.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cms-hong-kong-llp/,ukpc_directory
Coller Capital Limited,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,"Coller Capital, founded in 1990, is one of the world's leading investors in the secondary market for private assets – and widely acknowledged as an innovator in secondaries. The firm provides  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/coller-capital-limited/,ukpc_directory
Columbia Threadneedle Investment,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Private Equity asset manager investing in funds (primaries and secondaries) as well as co-investments across the globe.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/columbia-threadneedle-investment/,ukpc_directory
Commonfund Capital,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/commonfund-capital/,ukpc_directory
ComplyCraft Consulting,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/complycraft-consulting/,ukpc_directory
Confidas People,,VC/PE,United Kingdom,UK,Professional Services,,Confidas People provides comprehensive Management Team Due Diligence and People Assessment to support investment decision making.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/confidas-people/,ukpc_directory
Connection Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Provider of equity capital to established UK companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/connection-capital-llp/,ukpc_directory
Connection Capital LLP (LP),,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/connection-capital-llp-lp/,ukpc_directory
Consilium Capital,,VC/PE,United Kingdom,UK,Professional Services,,Specialist corporate finance firm dedicated to advising and raising capital internationally for companies and investment funds focussed on sustainable and impact investment,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/consilium-capital/,ukpc_directory
Cooley LLP,,VC/PE,United Kingdom,UK,Law Firms,,"Cooley's lawyers solve legal issues for entrepreneurs, investors, financial institutions and established companies.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cooley-llp/,ukpc_directory
Copilot Capital,,,United Kingdom,UK,,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/copilot-capital/,ukpc_directory
Copper Street Capital,,VC/PE,United Kingdom,UK,UK General Partner,,"Established in 2015, Copper Street Capital LLP is a sector specialist investment firm focused exclusively on financial services.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/copper-street-capital/,ukpc_directory
CORDET Capital Partners LLP,,Debt,United Kingdom,UK,Private Credit,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cordet-capital-partners-llp/,ukpc_directory
Cordovan Capital Management,,VC/PE,United Kingdom,UK,UK General Partner,,Cordovan Capital Management is a UK and Ireland micro-cap private equity manager.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cordovan-capital-management/,ukpc_directory
Cork Gully Asset Management Limited,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cork-gully-asset-management-limited/,ukpc_directory
Cornerstone VC,,VC/PE,United Kingdom,UK,UK General Partner,,"Cornerstone VC focuses on a 'people first’ investment strategy, investing at pre-seed/seed in UK technology businesses led by diverse teams.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cornerstone-vc/,ukpc_directory
Corvus Group,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/corvus-group/,ukpc_directory
Cosegic,,VC/PE,United Kingdom,UK,Professional Services,,"Founded in 2003, Cosegic provides assistance with FCA authorisation, SEC registration, ongoing consulting, prudential services, online training and compliance software.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cosegic/,ukpc_directory
Covington & Burling LLP,,VC/PE,United Kingdom,UK,Law Firms,,"A global law firm with expertise in corporate, dispute resolution, regulatory and public policy advice across broad industry sectors.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/covington-burling-llp/,ukpc_directory
CPPIB,,VC/PE,United Kingdom,UK,Institutional Investor,,Investing assets of the Canada Pension Plan in the interest of its contributors.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cppib/,ukpc_directory
Crowe UK LLP,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/crowe-uk-llp/,ukpc_directory
CVC Advisers Limited,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity and investment advisory firms.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cvc-advisers-limited/,ukpc_directory
CVC Credit Partners,,Debt,United Kingdom,UK,Private Credit,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cvc-credit-partners/,ukpc_directory
CVC Secondary Partners,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cvc-secondary-partners/,ukpc_directory
Cydar Medical,,VC/PE,United Kingdom,UK,Investee Company,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cydar-medical/,ukpc_directory
Cydea,,VC/PE,United Kingdom,UK,Professional Services,,"Cyber consultancy helping reduce risk, improve security posture and protect value for GPs, LPs and their portfolio companies.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/cydea/,ukpc_directory
Danesmead Advisory,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/danesmead-advisory/,ukpc_directory
Davis Polk & Wardwell London LLP,,VC/PE,United Kingdom,UK,Law Firms,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/davis-polk-wardwell-london-llp/,ukpc_directory
Debevoise & Plimpton LLP,,VC/PE,United Kingdom,UK,Law Firms,,Providing legal services to private equity firms.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/debevoise-plimpton-llp/,ukpc_directory
Deloitte,,VC/PE,United Kingdom,UK,Professional Services,,"Providing audit, consulting, financial advisory, risk management, tax, and related services to select clients.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/deloitte/,ukpc_directory
Development Bank of Wales,,VC/PE,United Kingdom,UK,Impact Investment Fund,,"The Development Bank of Wales aims to provide sustainable, effective finance to Welsh businesses or those will to relocate.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/development-bank-of-wales/,ukpc_directory
Divela Investments Ltd.,,VC/PE,Bulgaria,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/divela-investments-ltd/,ukpc_directory
DLA Piper UK LLP,,VC/PE,United Kingdom,UK,Law Firms,,Provides full service legal advice from London and the major UK centres.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/dla-piper-uk-llp/,ukpc_directory
DSW Venture Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/dsw-venture-capital-llp/,ukpc_directory
Duke Street,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity firm focused on on mid market Western European buyouts.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/duke-street/,ukpc_directory
Dyer Baade & Company Advisory Ltd.,,VC/PE,United Kingdom,UK,Professional Services,,"Dyer Baade & Company is an independent M&A advisory boutique working predominantly with founders, CEOs, and professional investors of leading privately owned businesses who are seeking  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/dyer-baade-company-advisory-ltd/,ukpc_directory
ECI Partners LLP,,VC/PE,United Kingdom,UK,UK General Partner,,UK growth-focused private equity firm.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/eci-partners-llp/,ukpc_directory
Edge Investment Limited,,VC/PE,United Kingdom,UK,UK General Partner,,"Focused on the creative industries sector, they have raised funds approaching &pound;200 million.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/edge-investment-limited/,ukpc_directory
Eight Advisory,,VC/PE,United Kingdom,UK,Professional Services,,Financial and operations consultancy.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/eight-advisory/,ukpc_directory
EKA Ventures,,VC/PE,United Kingdom,UK,Impact Investment Fund,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/eka-ventures/,ukpc_directory
Elbow Beach Investments,,PE,United Kingdom,UK,Direct Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/elbow-beach-investments/,ukpc_directory
Elysian Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity firm in the UK lower mid-market.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/elysian-capital-llp/,ukpc_directory
EMK Capital,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/emk-capital/,ukpc_directory
EMV Capital,,VC/PE,United Kingdom,UK,UK General Partner,,"VC investor specialising in early stage high-growth deep tech companies in the life science, sustainability and industrials sectors.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/emv-capital/,ukpc_directory
Enterprise Ireland,,VC/PE,Ireland,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/enterprise-ireland/,ukpc_directory
EPIC Investment Partners LLP,,VC/PE,United Kingdom,UK,UK General Partner,,"An independent manager, advisory boutique and placement agent.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/epic-investment-partners-llp/,ukpc_directory
Epiris LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Epiris is a leading independent private equity fund manager with more than 25 years&rsquo; experience.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/epiris-llp/,ukpc_directory
Equinor Energy Ventures,,CVC,Norway,UK,Corporate Venture,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/equinor-energy-ventures/,ukpc_directory
Equistone Partners Europe Limited,,VC/PE,United Kingdom,UK,UK General Partner,,Lower mid-market private equity investor in Europe.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/equistone-partners-europe-limited/,ukpc_directory
Esas Holding UK Limited,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/esas-holding-uk-limited/,ukpc_directory
Esmée Fairbairn Foundation,,VC/PE,United Kingdom,UK,Institutional Investor,,"We aim to improve our natural world, secure a fairer future and strengthen the bonds in communities in the UK.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/esmee-fairbairn-foundation/,ukpc_directory
Estonian Private Equity & Venture Capital Association,,VC/PE,Estonia,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/estonian-private-equity-venture-capital-association/,ukpc_directory
ETF Partners,,VC/PE,United Kingdom,UK,Impact Investment Fund,,"Founded in 2005, ETF Partners (The Environmental Technologies Fund) is Europe’s original venture capital firm dedicated to sustainability and impact investing. For nearly twenty years, we have  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/etf-partners/,ukpc_directory
European Bank for Reconstruction and Development,,VC/PE,United Kingdom,UK,Institutional Investor,,Providing investments that foster growth and innovation and promote countries' transition to market economies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/european-bank-for-reconstruction-and-development/,ukpc_directory
Evercore Partners,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/evercore-partners/,ukpc_directory
Eversheds Sutherland LLP,,VC/PE,United Kingdom,UK,Law Firms,,"Full service, international law firm acting for the public and private sector.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/eversheds-sutherland-llp/,ukpc_directory
Exponent Private Equity LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity firm investing in UK headquartered businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/exponent-private-equity-llp/,ukpc_directory
EY,,VC/PE,United Kingdom,UK,Professional Services,,"Providing Assurance, Tax, Advisory and Transaction Advisory Services.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ey/,ukpc_directory
Farrer & Co LLP,,VC/PE,United Kingdom,UK,Law Firms,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/farrer-co-llp/,ukpc_directory
Felix Capital,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/felix-capital/,ukpc_directory
Fiduciary Co-investment Partners,,VC/PE,United Kingdom,UK,UK General Partner,,Specialist private equity firm providing co-investments on a deal by deal basis.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fiduciary-co-investment-partners/,ukpc_directory
Fieldfisher,,VC/PE,United Kingdom,UK,Law Firms,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fieldfisher/,ukpc_directory
First Imagine! Ventures,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/first-imagine-ventures/,ukpc_directory
Fishawack Health,,VC/PE,United Kingdom,UK,Investee Company,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fishawack-health/,ukpc_directory
FPE Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,A growth equity investor in the UK lower middle-market.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fpe-capital-llp/,ukpc_directory
Francisco Partners,,VC/PE,United Kingdom,UK,UK General Partner,,Global private equity firm focused on technology and technology-enabled services businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/francisco-partners/,ukpc_directory
Freshfields Bruckhaus Deringer,,VC/PE,United Kingdom,UK,Law Firms,,"Global law firm providing a range of services to corporations, financial institutions and governments.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/freshfields-bruckhaus-deringer/,ukpc_directory
FreshMinds,,VC/PE,United Kingdom,UK,Professional Services,,"A market research, recruitment and interim resource firm.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/freshminds/,ukpc_directory
Fried Frank LLP,,VC/PE,United Kingdom,UK,Law Firms,,"Fried, Frank, Harris, Shriver & Jacobson LLP is a leading international law firm with approximately 500 lawyers who advise the world's leading corporations, investment funds and financial  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fried-frank-llp/,ukpc_directory
Frog Capital Limited,,VC/PE,United Kingdom,UK,UK General Partner,,Frog invests in ambitious European growth stage companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/frog-capital-limited/,ukpc_directory
Funding London,,VC/PE,United Kingdom,UK,Institutional Investor,,Seeking to bridge the funding gap for SMEs in London and enabling opportunities for sustainable growth.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/funding-london/,ukpc_directory
Future Planet Capital,,VC/PE,United Kingdom,UK,UK General Partner,,A venture capital firm based in the heart of Birmingham.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/future-planet-capital/,ukpc_directory
FW Capital,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/fw-capital/,ukpc_directory
G Square Healthcare Private Equity LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Private equity firm investing in mid-market Healthcare companies primarily in Europe,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/g-square-healthcare-private-equity-llp/,ukpc_directory
Gen II,,VC/PE,Jersey,UK,Professional Services,,"Gen II is a leading global fund administration provider focused entirely on serving private capital asset managers and investors. Since its inception in 2009, the company has become one of the  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gen-ii/,ukpc_directory
General Atlantic,,VC/PE,United Kingdom,UK,UK General Partner,,Independent investment management partnership focused on global change.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/general-atlantic/,ukpc_directory
GHO Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Specialist investor in European healthcare.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gho-capital-llp/,ukpc_directory
"Gibson, Dunn & Crutcher UK LLP",,VC/PE,United Kingdom,UK,Law Firms,,"Gibson, Dunn & Crutcher, with more than 1,300 lawyers in 20 offices in major cities throughout the United States, Europe, the Middle East, Asia and South America, is committed to providing the  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gibson-dunn-crutcher-uk-llp/,ukpc_directory
GIC (London) Private Limited,,VC/PE,United Kingdom,UK,Institutional Investor,,Investors contributing to the well-being of current and future generations of Singaporeans.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gic-london-private-limited/,ukpc_directory
Gleiss Lutz Hootz Hirsch PartmbB,,VC/PE,United Kingdom,UK,Law Firms,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gleiss-lutz-hootz-hirsch-partmbb/,ukpc_directory
Global Infrastructure Partners,,VC/PE,United Kingdom,UK,UK General Partner,,"A global, independent infrastructure investor.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/global-infrastructure-partners/,ukpc_directory
Globalization Partners,,VC/PE,United States,UK,Professional Services,,Globalization Partners’ Global Expansion Platform™ enables you to hire in more than 170 countries within days.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/globalization-partners/,ukpc_directory
Goodwin,,VC/PE,United Kingdom,UK,Law Firms,,Law firm focused on the private equity and real estate sectors.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/goodwin/,ukpc_directory
Governance 360,,VC/PE,United Kingdom,UK,Investee Company,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/governance-360/,ukpc_directory
Gowling WLG,,VC/PE,United Kingdom,UK,Law Firms,,UK-headquartered law firm providing a full range of legal services to clients worldwide.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/gowling-wlg/,ukpc_directory
Grant Thornton UK Advisory & Tax LLP,,VC/PE,United Kingdom,UK,Professional Services,,Financial and business advisor serving the public and private sector.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/grant-thornton-uk-advisory-tax-llp/,ukpc_directory
Graphite Capital Management LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Independent private equity investor focused on the UK mid-market.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/graphite-capital-management-llp/,ukpc_directory
Green Project Technologies,,VC/PE,United States,UK,Professional Services,,Green Project works with over 45 GPs to support carbon accounting and ESG management across their hundreds of portfolio companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/green-project-technologies/,ukpc_directory
Growth Capital Partners LLP (GCP),,VC/PE,United Kingdom,UK,UK General Partner,,Provider of blended debt and equity to UK small to medium sized enterprises.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/growth-capital-partners-llp-gcp/,ukpc_directory
Growth Fund 1,,VC/PE,United Kingdom,UK,First Time Fund Manager,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/growth-fund-1/,ukpc_directory
Growth Partner,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/growth-partner-1/,ukpc_directory
Guernsey Finance,,VC/PE,Guernsey,UK,Professional Services,,Promotional agency for Guernsey's finance industry internationally.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/guernsey-finance/,ukpc_directory
Haley Guiliano International LLP,,VC/PE,United Kingdom,UK,Law Firms,,Haley Guiliano is a law firm specialising in intellectual property management. We work with intellectual property assets for business advantage.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/haley-guiliano-international-llp/,ukpc_directory
Hamilton Lane,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Independent alternative investment management firm.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/hamilton-lane/,ukpc_directory
HarbourVest Partners (U.K.) Limited,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Global private markets investment firm investing in all areas of private equity.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/harbourvest-partners-uk-limited/,ukpc_directory
Hayfin Capital,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/hayfin-capital/,ukpc_directory
Healthcare of Ontario Pension Plan (HOOPP),,VC/PE,Canada,UK,Institutional Investor,,"We manage a global, multi-asset class investment portfolio. Our team of in-house investment professionals use long-term and liability-driven strategies to build a diverse portfolio of  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/healthcare-of-ontario-pension-plan-hoopp/,ukpc_directory
